num,titulo,autor,isbn,condicion,tipo,descripcion,cover_openlibrary,cover_google,year,pages,categoria
31,Los Románticos,Pankaj Mishra,9781529151879,buen_estado,venta,Los Románticos de Pankaj Mishra. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/1470354-L.jpg,https://books.google.com/books/content?vid=isbn:9781529151879&printsec=frontcover&img=1&zoom=1,2000,288,literatura
32,¿Existe La Suerte?,Nassim Nicholas Taleb,9789501205190,buen_estado,venta,¿Existe La Suerte? de Nassim Nicholas Taleb. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/12344622-L.jpg,https://books.google.com/books/content?vid=isbn:9789501205190&printsec=frontcover&img=1&zoom=1,2013,,literatura
33,Venganza,Benjamin Black,9788466331777,buen_estado,venta,Venganza de Benjamin Black. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/13495218-L.jpg,https://books.google.com/books/content?vid=isbn:9788466331777&printsec=frontcover&img=1&zoom=1,2016,344,literatura
34,Viajes Con Puff,Richard Bach,9788466654395,buen_estado,venta,Viajes Con Puff de Richard Bach. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/14087084-L.jpg,https://books.google.com/books/content?vid=isbn:9788466654395&printsec=frontcover&img=1&zoom=1,2014,304,literatura
35,Calculus: Concepts And Methods,Ken Binmore,9780521775410,buen_estado,venta,Calculus: Concepts And Methods de Ken Binmore. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/isbn/9780521775410-L.jpg,https://books.google.com/books/content?vid=isbn:9780521775410&printsec=frontcover&img=1&zoom=1,,,literatura
36,La Letra E,Augusto Monterroso,9788420429267,buen_estado,venta,La Letra E de Augusto Monterroso. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/8062950-L.jpg,https://books.google.com/books/content?vid=isbn:9788420429267&printsec=frontcover&img=1&zoom=1,1987,204,literatura
37,Camel Club,David Baldacci,9788466626774,buen_estado,venta,Camel Club de David Baldacci. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/8580434-L.jpg,https://books.google.com/books/content?vid=isbn:9788466626774&printsec=frontcover&img=1&zoom=1,2005,438,literatura
38,Las Sombras Del Mundo,Juan Perucho,9788420646695,buen_estado,venta,Las Sombras Del Mundo de Juan Perucho. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/isbn/9788420646695-L.jpg,https://books.google.com/books/content?vid=isbn:9788420646695&printsec=frontcover&img=1&zoom=1,1995,95,literatura
39,El Vuelo De La Reina,Tomás Eloy Martínez,9788466310642,buen_estado,venta,El Vuelo De La Reina de Tomás Eloy Martínez. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/1046724-L.jpg,https://books.google.com/books/content?vid=isbn:9788466310642&printsec=frontcover&img=1&zoom=1,2002,312,literatura
40,Vidas Para Leerlas,Guillermo Cabrera Infante,9788420483696,buen_estado,venta,Vidas Para Leerlas de Guillermo Cabrera Infante. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/9364252-L.jpg,https://books.google.com/books/content?vid=isbn:9788420483696&printsec=frontcover&img=1&zoom=1,1998,294,literatura
41,Los Pájaros De Bangkok,Manuel Vázquez Montalbán,9788432022166,buen_estado,venta,Los Pájaros De Bangkok de Manuel Vázquez Montalbán. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/4904330-L.jpg,https://books.google.com/books/content?vid=isbn:9788432022166&printsec=frontcover&img=1&zoom=1,1983,351,literatura
42,El Cementerio De Praga,Umberto Eco,9788426418975,buen_estado,venta,El Cementerio De Praga de Umberto Eco. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/isbn/9788426418975-L.jpg,https://books.google.com/books/content?vid=isbn:9788426418975&printsec=frontcover&img=1&zoom=1,,,literatura
43,HHhH,Laurent Binet,9781448155149,buen_estado,venta,HHhH de Laurent Binet. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/13279649-L.jpg,https://books.google.com/books/content?vid=isbn:9781448155149&printsec=frontcover&img=1&zoom=1,2009,344,literatura
44,Obra Breve,Arturo Pérez-Reverte,9788420481791,buen_estado,venta,Obra Breve de Arturo Pérez-Reverte. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/8074183-L.jpg,https://books.google.com/books/content?vid=isbn:9788420481791&printsec=frontcover&img=1&zoom=1,1995,420,literatura
45,Oscuro Como La Tumba En La Que Yace Mi Amigo,Malcolm Lowry,9788483108154,buen_estado,venta,Oscuro Como La Tumba En La Que Yace Mi Amigo de Malcolm Lowry. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/isbn/9788483108154-L.jpg,https://books.google.com/books/content?vid=isbn:9788483108154&printsec=frontcover&img=1&zoom=1,2002,150,literatura
46,"Cuentos, Fábulas Y Lo Demás Es Silencio",Augusto Monterroso,9789681907570,buen_estado,venta,"Cuentos, Fábulas Y Lo Demás Es Silencio de Augusto Monterroso. Libro fisico usado en buen estado.",https://covers.openlibrary.org/b/isbn/9789681907570-L.jpg,https://books.google.com/books/content?vid=isbn:9789681907570&printsec=frontcover&img=1&zoom=1,,,literatura
47,Hijos Sin Hijos,Enrique Vila-Matas,9788499894409,buen_estado,venta,Hijos Sin Hijos de Enrique Vila-Matas. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/9067045-L.jpg,https://books.google.com/books/content?vid=isbn:9788499894409&printsec=frontcover&img=1&zoom=1,2012,218,literatura
48,Las Sombras De Quirke,Benjamin Black,9788420419480,buen_estado,venta,Las Sombras De Quirke de Benjamin Black. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/7985753-L.jpg,https://books.google.com/books/content?vid=isbn:9788420419480&printsec=frontcover&img=1&zoom=1,2017,314,literatura
49,El Jardín De Las Dudas,Fernando Savater,9789507424199,buen_estado,venta,El Jardín De Las Dudas de Fernando Savater. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/id/1046578-L.jpg,https://books.google.com/books/content?vid=isbn:9789507424199&printsec=frontcover&img=1&zoom=1,1993,248,literatura
50,El Guardián Entre El Centeno,J.D. Salinger,9788420674209,buen_estado,venta,El Guardián Entre El Centeno de J.D. Salinger. Libro fisico usado en buen estado.,https://covers.openlibrary.org/b/isbn/9788420674209-L.jpg,https://books.google.com/books/content?vid=isbn:9788420674209&printsec=frontcover&img=1&zoom=1,,,literatura
