titulo,autor,precio_liquidacion,precio_normal,estado,categoria,isbn,editorial,ano,coleccionable,url
,,5500,10990,good,,,,,,https://tuslibros.cl/libro/vero/la-dadiva-nabokov
,,5000,9990,good,,,,,,https://tuslibros.cl/libro/vero/america-ellroy
,,5000,10000,new,,,,,,https://tuslibros.cl/libro/vero/nadie-lo-ha-oido
,,5000,9990,poor,,,,,,https://tuslibros.cl/libro/vero/conocer-varela
,,5000,9990,good,,,,,,https://tuslibros.cl/libro/vero/antigua-luz-banville
,,5000,9990,good,,,,,,https://tuslibros.cl/libro/vero/elogio-de-la-madrastra
,,5000,9990,good,,,,,,https://tuslibros.cl/libro/vero/heterodoxia-sabato
,,4800,9500,new,,,,,,https://tuslibros.cl/libro/vero/el-otro-nombre-de-laura
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/daisy-miller
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/a-causa-de-la-noche
,,4500,8990,poor,,,,,,https://tuslibros.cl/libro/vero/steve-jobs
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/libertad
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/los-anos-con-laura-diaz
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-mal-de-montano
,,4500,8990,poor,,,,,,https://tuslibros.cl/libro/vero/la-presencia-ignorada-de-dios
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/a-la-cita-de-los-terranovas
,,4500,9000,good,,,,,,https://tuslibros.cl/libro/vero/literati
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-bailarina-del-gai-moulin
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-mito-de-la-revolucion-masonica
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/los-sotanos-del-majestic
,,4500,9000,good,,,,,,https://tuslibros.cl/libro/vero/habitos-atomicos
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/quinteto-de-buenos-aires
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-aleph
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/la-cuarentena
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-desfile-del-amor
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/luna-de-locos
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/filosofia-a-destiempo
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-encargo
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/los-mares-del-sur
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/oscuro-como-la-tumba-en-la-que-yace-mi-amigo
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/el-balneario
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/el-pensamiento-de-prigogine
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/historia-del-siglo-xx
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-sobre-negro
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/la-letra-e
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/un-siglo-de-economia-politica-chilena-1890-1990
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/cuentos-reciclados
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/la-transparencia-del-tiempo
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/agosto
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/existe-la-suerte
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/morir-en-berlin
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/cecile-ha-muerto
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/sangre-en-la-luna
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/el-vuelo-de-la-reina
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/los-romanticos
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/hijos-sin-hijos
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-arado-de-oro
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/la-casa-rusia
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/color-local-capote
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/cronica-de-las-ideas
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/hhhh-binet
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/los-fantasmas-de-kraven
,,4500,8990,fair,,,,,,https://tuslibros.cl/libro/vero/la-conjura-de-los-necios
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-esclusa-numero-1
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/un-espia-perfecto
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/firmado-picpus
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/el-fantasma-de-canterville-y-otros-cuentos
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/el-cementerio-de-praga
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-taberna-de-los-dos-centavos
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/breviario-de-podredumbre
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-noche-de-la-encrucijada
,,4500,8990,fair,,,,,,https://tuslibros.cl/libro/vero/mishima-vision-del-vacio
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-gran-libro-de-los-habitos-zen
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/huellas-imborrables
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/rapsodia-gourmet-barbery
,,4500,8990,new,,,,,,https://tuslibros.cl/libro/vero/una-temporada-con-lacan
,,4500,8990,poor,,,,,,https://tuslibros.cl/libro/vero/griego-busca-griega
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/los-idus-de-marzo
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/camel-club
,,4500,8990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-casa-del-juez
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/el-general-en-su-laberinto
,,4500,8990,good,,,,,,https://tuslibros.cl/libro/vero/garbo
,,4000,8000,new,,,,,,https://tuslibros.cl/libro/vero/dibujando-el-cosmos-los-origenes-de-la-ciencia-la-astronomia-y-la-medicion-del-t
,,4000,8000,good,,,,,,https://tuslibros.cl/libro/vero/la-region-mas-transparente
,,4000,8000,new,,,,,,https://tuslibros.cl/libro/vero/donde-van-a-morir-los-elefantes
,,4000,8000,good,,,,,,https://tuslibros.cl/libro/vero/euforia-y-utopia
,,4000,8000,good,,,,,,https://tuslibros.cl/libro/vero/los-convidados-de-piedra
,,4000,8000,good,,,,,,https://tuslibros.cl/libro/vero/la-armonia-de-las-celulas
,,4000,8000,good,,,,,,https://tuslibros.cl/libro/vero/diana-o-la-cazadora-solitaria
,,4000,7994,good,,,,,,https://tuslibros.cl/libro/vero/andorra
,,4000,7900,good,,,,,,https://tuslibros.cl/libro/vero/los-idus-de-marzo-7213fc
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-agitada-navidad-de-maigret
,,4000,7990,fair,,,,,,https://tuslibros.cl/libro/vero/griego-busca-griega-edicion-vintage
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-muerte-ronda-a-maigret
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/un-fracaso-de-maigret
