titulo,autor,isbn,precio,condicion,tipo,categoria
Los fantasmas de Kraven,Alan Isler,,5000,buen_estado,venta,Ficción
Los románticos,Pankaj Mishra,,5000,buen_estado,venta,Ficción
Cuentos reciclados,Álvaro Pombo,,5000,buen_estado,venta,Ficción
Camel Club,David Baldacci,,5000,buen_estado,venta,Ficción
Oscuro como la tumba en la que yace mi amigo,Malcolm Lowry,,5000,buen_estado,venta,Ficción
El Encargo,Friedrich Dürrenmatt,,5000,buen_estado,venta,Ficción
El sobre negro,Norman Manea,,5000,buen_estado,venta,Ficción
Luna de locos,Manfredo Kempff,,5000,buen_estado,venta,Ficción
Excesos,Mauricio Wacquez,,5000,buen_estado,venta,Ficción
